id,name,hex6,url,lrv,r,g,b,hex6_detail,description
V086-3,Key Wester,CFA682,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/key-wester-v086-3,42.286,207,166,130,CFA682,
1002-9C,Soft Rabbit Brown,8D7970,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/soft-rabbit-brown-1002-9c,20.483,141,121,112,8D7970,
V085-3,Maple Tan,D4A482,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/maple-tan-v085-3,42.231,212,164,130,D4A482,
6004-2B,Mountain Smoke,817B72,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/mountain-smoke-6004-2b,20.15,129,123,114,817B72,
M147,Roasted Cashew,CBA77C,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/roasted-cashew-m147,42.057,203,167,124,CBA77C,
3001-9B,Dark Toast,917158,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/dark-toast-3001-9b,18.454,145,113,88,917158,
T516,Gentility,C9A789,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/gentility-t516,42.025,201,167,137,C9A789,
6003-2B,Empire,7A7467,https://www.valspar.com/en/colors/browse-colors/lowes/neutral/empire-6003-2b,17.57,122,116,103,7A7467,
8004-17E,Cuppa Tea,B38F67,https://www.valspar.com/en/colors/browse-colors/lowes/brown/cuppa-tea-8004-17e,30.0,179,143,103,B38F67,
M110,Green as a Bean,C2AB7B,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/green-as-a-bean-m110,41.984,194,171,123,C2AB7B,
T578,My Guinea Pig,C2A987,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/my-guinea-pig-t578,41.696,194,169,135,C2A987,
8004-5E,Monkeypod,A38E89,https://www.valspar.com/en/colors/browse-colors/lowes/brown/monkeypod-8004-5e,29.0,163,142,137,A38E89,
V088-3,Uncommon Coir,C4A889,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/uncommon-coir-v088-3,41.547,196,168,137,C4A889,
6008-4B,Caraway Shield,A18D65,https://www.valspar.com/en/colors/browse-colors/lowes/brown/caraway-shield-6008-4b,27.597,161,141,101,A18D65,
8005-10E,State of Mind,9C8E83,https://www.valspar.com/en/colors/browse-colors/lowes/brown/state-of-mind-8005-10e,28.0,156,142,131,9C8E83,
V083-3,Adobe Village,D0A38B,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/adobe-village-v083-3,41.36,208,163,139,D0A38B,
M136,Brown Owl,C0A88D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/brown-owl-m136,41.336,192,168,141,C0A88D,
2004-9C,Fudgecicle,A28576,https://www.valspar.com/en/colors/browse-colors/lowes/brown/fudgecicle-2004-9c,25.759,162,133,118,A28576,
3004-9C,River Oak,A78967,https://www.valspar.com/en/colors/browse-colors/lowes/brown/river-oak-3004-9c,27.066,167,137,103,A78967,
T577,Brown Bunny,BEA98C,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/brown-bunny-t577,41.267,190,169,140,BEA98C,
V087-3,Woven Jute,C4A68C,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/woven-jute-v087-3,41.15,196,166,140,C4A68C,
2005-9C,Delta Sandbar,A28776,https://www.valspar.com/en/colors/browse-colors/lowes/brown/delta-sandbar-2005-9c,26.285,162,135,118,A28776,
V135-4,Oyster Shoal,B7A895,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/oyster-shoal-v135-4,40.348,183,168,149,B7A895,
V084-3,Emery Board,C8A389,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/emery-board-v084-3,40.244,200,163,137,C8A389,
1003-9C,Lilac Gray,988583,https://www.valspar.com/en/colors/browse-colors/lowes/brown/lilac-gray-1003-9c,25.068,152,133,131,988583,
6006-2A,Stone Manor,998976,https://www.valspar.com/en/colors/browse-colors/lowes/brown/stone-manor-6006-2a,26.102,153,137,118,998976,
8004-12E,Teddy,AA8064,https://www.valspar.com/en/colors/browse-colors/lowes/brown/teddy-8004-12e,25.0,170,128,100,AA8064,
M351,Earthy Beige,B5A893,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/earthy-beige-m351,40.089,181,168,147,B5A893,
T565,Snug as a Bug,BCA695,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/snug-as-a-bug-t565,39.98,188,166,149,BCA695,
2003-9C,Navajo Horizon,A08173,https://www.valspar.com/en/colors/browse-colors/lowes/brown/navajo-horizon-2003-9c,24.447,160,129,115,A08173,
M132,Packed Sand,B3A79A,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/packed-sand-m132,39.717,179,167,154,B3A79A,
6008-2B,Sandalwood,92846A,https://www.valspar.com/en/colors/browse-colors/lowes/brown/sandalwood-6008-2b,23.813,146,132,106,92846A,
2006-9C,Tempered Allspice,988170,https://www.valspar.com/en/colors/browse-colors/lowes/brown/tempered-allspice-2006-9c,23.445,152,129,112,988170,
V129-4,Pick of the Litter,B8A59B,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/pick-of-the-litter-v129-4,39.606,184,165,155,B8A59B,
V133-4,Gentry Gray,B7A695,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/gentry-gray-v133-4,39.609,183,166,149,B7A695,
8004-9E,Creamy Mocha,967E71,https://www.valspar.com/en/colors/browse-colors/lowes/brown/creamy-mocha-8004-9e,23.0,150,126,113,967E71,
M121,Sweet Treat,BCA498,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/sweet-treat-m121,39.584,188,164,152,BCA498,
6007-2B,Wild Hawk,8F7E68,https://www.valspar.com/en/colors/browse-colors/lowes/brown/wild-hawk-6007-2b,21.843,143,126,104,8F7E68,
3007-9B,Winter Delta,927D60,https://www.valspar.com/en/colors/browse-colors/lowes/brown/winter-delta-3007-9b,21.647,146,125,96,927D60,
V132-4,Fashion District,B7A595,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/fashion-district-v132-4,39.377,183,165,149,B7A595,
V128-4,Embarrassed Shadow,B7A49F,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/embarrassed-shadow-v128-4,39.085,183,164,159,B7A49F,
8004-17F,Haute Hickory,9C7A56,https://www.valspar.com/en/colors/browse-colors/lowes/brown/haute-hickory-8004-17f,22.0,156,122,86,9C7A56,
V127-4,Mystical Gray,B0A5A4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/mystical-gray-v127-4,39.017,176,165,164,B0A5A4,
T573,Poetry in Motion,BAA299,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/poetry-in-motion-t573,38.714,186,162,153,BAA299,
3004-9B,Crunch Granola,99795A,https://www.valspar.com/en/colors/browse-colors/lowes/brown/crunch-granola-3004-9b,21.264,153,121,90,99795A,
3001-7B,Tender Twig,99755D,https://www.valspar.com/en/colors/browse-colors/lowes/brown/tender-twig-3001-7b,20.297,153,117,93,99755D,
