name,code,r,g,b,hex,brand,url
"DARK GRANITE","PPG1005-7","79","68","63","#4F443F","PPG","/color/color-families/neutrals/dark-granite"
"SARSAPARILLA","PPG1018-7","91","76","68","#5B4C44","PPG","/color/color-families/neutrals/sarsaparilla"
"CHOCOLATE PRETZEL","PPG1017-7","96","80","75","#60504B","PPG","/color/color-families/neutrals/chocolate-pretzel"
"INTRIGUE","PPG1019-7","99","89","81","#635951","PPG","/color/color-families/neutrals/intrigue"
"OSWEGO TEA","PPG1005-6","102","93","89","#665D59","PPG","/color/color-families/neutrals/oswego-tea"
"BOLD BRANDY","PPG1017-6","121","102","96","#796660","PPG","/color/color-families/neutrals/bold-brandy"
"GRANITE BOULDER","PPG1015-6","129","111","107","#816F6B","PPG","/color/color-families/neutrals/granite-boulder"
"TATTLE TAIL","PPG1019-6","128","115","106","#80736A","PPG","/color/color-families/neutrals/tattle-tail"
"FLIPPER","PPG1018-6","127","114","107","#7F726B","PPG","/color/color-families/neutrals/flipper"
"OAKWOOD BROWN","PPG1054-6","143","113","110","#8F716E","PPG","/color/color-families/reds/oakwood-brown"
"CLAY RIDGE","PPG1053-6","149","106","102","#956A66","PPG","/color/color-families/reds/clay-ridge"
"CANYON STONE","PPG1059-6","147","98","91","#93625B","PPG","/color/color-families/reds/canyon-stone"
"RASPBERRY TRUFFLE","PPG1060-6","138","93","85","#8A5D55","PPG","/color/color-families/reds/raspberry-truffle"
"BARN DOOR","PPG1055-6","142","89","89","#8E5959","PPG","/color/color-families/reds/barn-door"
"OLD BURGUNDY","PPG13-05","137","88","93","#89585D","PPG","/color/color-families/reds/old-burgundy"
"MESA RED","PPG1052-6","146","85","91","#92555B","PPG","/color/color-families/reds/mesa-red"
"POMEGRANATE PUNCH","PPG13-01","145","87","93","#91575D","PPG","/color/color-families/reds/pomegranate-punch"
"ROASTED PEPPER","PPG13-13","156","77","82","#9C4D52","PPG","/color/color-families/reds/roasted-pepper"
"FIRE WEED","PPG1056-6","155","91","85","#9B5B55","PPG","/color/color-families/reds/fire-weed"
