key_id,key_name,key_hex6,key_url,friend_name,friend_hex6,friend_url,relationship
T634,Scottish Heath,C5CFCD,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/scottish-heath-t634,Black Hills Gold,C7B996,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/black-hills-gold-t630,coordinating
T634,Scottish Heath,C5CFCD,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/scottish-heath-t634,Crème de la Crème,F5F1E3,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/creme-de-la-creme-t660,coordinating
V109-2,Faded Indigo,BFCFDB,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/faded-indigo-v109-2,Lavender Sand,C8BDC4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/purple/lavender-sand-p001,coordinating
V109-2,Faded Indigo,BFCFDB,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/faded-indigo-v109-2,Sunrise Over Tahiti,9A898D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/red/sunrise-over-tahiti-p038,coordinating
V109-2,Faded Indigo,BFCFDB,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/faded-indigo-v109-2,Branching-Out Olive,907850,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/branching-out-olive-v093-5,coordinating
8001-42C,Moment of Grace,83C1E2,https://www.valspar.com/en/colors/browse-colors/lowes/blue/moment-of-grace-8001-42c,Swiss Coffee,F1EFE7,https://www.valspar.com/en/colors/browse-colors/lowes/white/swiss-coffee-7002-16,coordinating
8001-42C,Moment of Grace,83C1E2,https://www.valspar.com/en/colors/browse-colors/lowes/blue/moment-of-grace-8001-42c,Homey Cream,F4DFB8,https://www.valspar.com/en/colors/browse-colors/lowes/yellow/homey-cream-3007-6b,coordinating
8001-42C,Moment of Grace,83C1E2,https://www.valspar.com/en/colors/browse-colors/lowes/blue/moment-of-grace-8001-42c,Plum Passion,DBD1A4,https://www.valspar.com/en/colors/browse-colors/lowes/green/plum-passion-6007-5b,coordinating
4007-5C,Memorybook Blue,9DBCC9,https://www.valspar.com/en/colors/browse-colors/lowes/blue/memorybook-blue-4007-5c,Swiss Coffee,F1EFE7,https://www.valspar.com/en/colors/browse-colors/lowes/white/swiss-coffee-7002-16,coordinating
4007-5C,Memorybook Blue,9DBCC9,https://www.valspar.com/en/colors/browse-colors/lowes/blue/memorybook-blue-4007-5c,Clay Angel,E0D5C8,https://www.valspar.com/en/colors/browse-colors/lowes/white/clay-angel-7002-1,coordinating
4007-5C,Memorybook Blue,9DBCC9,https://www.valspar.com/en/colors/browse-colors/lowes/blue/memorybook-blue-4007-5c,Rocky Bluffs,A9A39D,https://www.valspar.com/en/colors/browse-colors/lowes/gray/rocky-bluffs-4003-1c,coordinating
V107-2,Rich Porcelain Blue,BFCFD9,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/rich-porcelain-blue-v107-2,Blue Cheese Olive,79653A,https://www.valspar.com/en/colors/browse-colors/independent-retailers/brown/blue-cheese-olive-v094-6,coordinating
V107-2,Rich Porcelain Blue,BFCFD9,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/rich-porcelain-blue-v107-2,Botanical Beauty,C4BA97,https://www.valspar.com/en/colors/browse-colors/independent-retailers/green/botanical-beauty-v095-3,coordinating
V107-2,Rich Porcelain Blue,BFCFD9,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/rich-porcelain-blue-v107-2,Autumn Ivy,B8694A,https://www.valspar.com/en/colors/browse-colors/independent-retailers/orange/autumn-ivy-v044-5,coordinating
V037-1,Beribboned,C2CDE0,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/beribboned-v037-1,Quill,DED2BB,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/quill-v094-1,coordinating
