hex1,hex2
8B4044,BEA781
F0EFEB,BEA781
9E9589,E6E3D6
9E9589,D8C095
E6E3D6,D8C095
8E7E67,F5EFE8
8E7E67,D8CFC1
F5EFE8,D8CFC1
8CAEAC,E9F9F5
8CAEAC,CADFDD
E9F9F5,CADFDD
FEE8F5,EDE2E0
FEE8F5,E2D5D3
EDE2E0,E2D5D3
9C9C82,FFFCEC
9C9C82,D0D1C1
FFFCEC,D0D1C1
6F7476,FDFAF1
6F7476,F1D5AE
FDFAF1,F1D5AE
FFF9DD,F8F5E9
FFF9DD,F7E5A9
F8F5E9,F7E5A9
9899B0,ECEBE5
9899B0,CBCDC4
ECEBE5,CBCDC4
86793D,FDF3E4
86793D,D5C3AD
FDF3E4,D5C3AD
BFC9D0,FAEEDB
BFC9D0,D0B082
FAEEDB,D0B082
D2CDBC,F4ECDB
D2CDBC,D1D9D7
F4ECDB,D1D9D7
6A819E,FFFCEC
6A819E,CDBDBA
FFFCEC,CDBDBA
89CEE0,F7F6F1
89CEE0,D6C5A9
F7F6F1,D6C5A9
A35046,F5EFE8
A35046,C1B4A0
F5EFE8,C1B4A0
EC9DC3,FFF0EA
EC9DC3,DBDBDA
FFF0EA,DBDBDA
EDD481,F7F6F1
EDD481,D6D69B
F7F6F1,D6D69B
E4C683,F4F0E1
E4C683,BAB4A6
F4F0E1,BAB4A6
494D8B,F5EFE8
494D8B,C1B4A0
F5EFE8,C1B4A0
FFF8DF,FDFAF1
FFF8DF,FFDEA6
FDFAF1,FFDEA6
F3F9E9,F7F6F1
F3F9E9,E3EFDD
F7F6F1,E3EFDD
5B4A44,ECE3E1
5B4A44,C3B4B3
ECE3E1,C3B4B3
92774C,F9EEDC
92774C,E1CEAD
F9EEDC,E1CEAD
186DB6,FFFBF0
186DB6,E0CFB5
FFFBF0,E0CFB5
F6E491,F0EFEB
F6E491,C7C7C2
F0EFEB,C7C7C2
F0B073,F0E8D9
F0B073,D2C6AE
F0E8D9,D2C6AE
4D6A77,FAECD9
4D6A77,CCAF92
FAECD9,CCAF92
B9C3B3,F5EBE1
B9C3B3,D8C7B6
F5EBE1,D8C7B6
618B97,ECEBE5
618B97,BAB4A6
ECEBE5,BAB4A6
5D66AA,FFFBEE
5D66AA,D2D8F4
FFFBEE,D2D8F4
87CDED,F8F5E9
87CDED,E2D6BD
F8F5E9,E2D6BD
F2B8CA,FAF3E6
F2B8CA,E2D6BD
FAF3E6,E2D6BD
FBDAE8,FFF9EC
FBDAE8,A2B7CF
FFF9EC,A2B7CF
B6CACA,F6EFE1
B6CACA,D2CDBC
F6EFE1,D2CDBC
E5A2AB,FFEBEE
E5A2AB,D2C6AE
FFEBEE,D2C6AE
A9B9B5,ECEBE5
A9B9B5,C7BDA8
ECEBE5,C7BDA8
B19C8F,EBE2CF
B19C8F,DDCAAF
EBE2CF,DDCAAF
886E54,FFFBF0
886E54,CDB9A2
FFFBF0,CDB9A2
3F6E8E,DBD7C4
3F6E8E,CBB68F
DBD7C4,CBB68F
676B55,FAF0DB
676B55,CDD0C0
FAF0DB,CDD0C0
155843,F8F5E9
155843,E3CBA8
F8F5E9,E3CBA8
E7D9DB,FFFBF0
E7D9DB,F5BFB2
FFFBF0,F5BFB2
F6EEDF,CCB49A
CCBEAC,FFF9E4
CCBEAC,E9E1A7
FFF9E4,E9E1A7
E2C681,FEF5DB
E2C681,E5A192
FEF5DB,E5A192
FEEDCA,FFF8EE
FEEDCA,E5A192
FFF8EE,E5A192
9F9180,F4F0E3
9F9180,D5C7B3
F4F0E3,D5C7B3
E5D2B0,FBF1DF
E5D2B0,4D6A77
FBF1DF,4D6A77
FEA051,F4F0E1
FEA051,B3B5AF
F4F0E1,B3B5AF
474A4E,FAF3E6
474A4E,D4D0C5
FAF3E6,D4D0C5
4E4B4A,F7F6F1
4E4B4A,B6B5B8
F7F6F1,B6B5B8
3B3A3A,FDFAF1
3B3A3A,D8C7B6
FDFAF1,D8C7B6
5E6354,FAEEDB
5E6354,D0B082
FAEEDB,D0B082
474C4D,F7F6F1
474C4D,CAD3D4
F7F6F1,CAD3D4
4A4F5A,FDFAF1
4A4F5A,D6C3B9
FDFAF1,D6C3B9
4F5552,FFFBEE
4F5552,D1D8D6
FFFBEE,D1D8D6
343E54,F5EFE8
343E54,C1B4A0
F5EFE8,C1B4A0
5C5451,FDFAF1
5C5451,CBC5C6
FDFAF1,CBC5C6
4C5752,E4EBE7
4C5752,B6C5C1
E4EBE7,B6C5C1
464647,FDFAF1
464647,D5D7D9
FDFAF1,D5D7D9
5E4F46,ECE5E1
5E4F46,C5B9B4
ECE5E1,C5B9B4
51504D,FDFAF1
51504D,D3D3D2
FDFAF1,D3D3D2
FFF0E3,F8F5E9
FFF0E3,EDCCB3
F8F5E9,EDCCB3
FFEFD6,F7F6F1
FFEFD6,F5CE9F
F7F6F1,F5CE9F
F3AD63,FDFCFA
F3AD63,D4D0C5
FDFCFA,D4D0C5
FFFBE8,FDFAF1
FFFBE8,FFEFCB
FDFAF1,FFEFCB
A5CDE1,EBE9D8
A5CDE1,F1E6CC
EBE9D8,F1E6CC
1D5699,F7F6F1
1D5699,D5C7B3
F7F6F1,D5C7B3
84A5DC,E0EBFA
84A5DC,CCBEAC
E0EBFA,CCBEAC
375673,F7F6F1
375673,D6C0A4
F7F6F1,D6C0A4
7F809C,FFF8E3
7F809C,D6C0A4
FFF8E3,D6C0A4
637983,E5DFCD
637983,E1D8B8
E5DFCD,E1D8B8
BBDEE5,FDFAF1
BBDEE5,E2D8C3
FDFAF1,E2D8C3
576A7D,E6E3D6
576A7D,A5A495
E6E3D6,A5A495
4E5878,FFFCEC
4E5878,D2C6AE
FFFCEC,D2C6AE
ADC5C9,FFFBF0
ADC5C9,E1CEAD
FFFBF0,E1CEAD
535A61,FDFAF1
535A61,CCD3D8
FDFAF1,CCD3D8
484B62,F4F0E8
484B62,D4CEBF
