code,hex,collection,name,description,lrv,usage,url
DEA102,#9F2D47,Perfect Palette,CRIMSON STRAWBERRY,,,,https://www.dunnedwards.com/colors/browser/dea102/
DEA103,#C03543,Perfect Palette,STRIKING RED,,,,https://www.dunnedwards.com/colors/browser/dea103/
DEA104,#C93543,Perfect Palette,RED ICON,,,,https://www.dunnedwards.com/colors/browser/dea104/
DEA105,#B73D3F,Perfect Palette,CHERRY BOMB,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea105/
DEA106,#B33234,Perfect Palette,RED CONTRAST,"This bright, fruit punch red paint color makes a bold and vibrant statement anywhere it goes. Dramatic, energized and traditional, it looks beautiful inside or out.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea106/
DEA107,#BC3033,Perfect Palette,HOT JAZZ,,,,https://www.dunnedwards.com/colors/browser/dea107/
DEA108,#D63D3B,Perfect Palette,RED POWER,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea108/
DEA109,#CE4E35,Perfect Palette,BONFIRE FLAME,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea109/
DEA110,#DE5730,Perfect Palette,UNTAMED ORANGE,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea110/
DEA111,#EB5030,Perfect Palette,BURNING TOMATO,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea111/
DEA112,#F0622F,Perfect Palette,EXUBERANT ORANGE,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea112/
DEA113,#FF6E3A,Perfect Palette,ORANGE BURST,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea113/
DEA114,#FF8D28,Perfect Palette,INSTANT ORANGE,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea114/
DEA115,#FF9731,Perfect Palette,ORANGE JEWEL,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea115/
DEA116,#FFAA00,Perfect Palette,FLASH OF ORANGE,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea116/
DEA117,#FFCC13,Perfect Palette,CONFIDENT YELLOW,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea117/
DEA118,#F9B500,Perfect Palette,YELLOW SUMMER,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea118/
DEA119,#FFD100,Perfect Palette,ELECTRIC GLOW,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea119/
DEA120,#FDCB18,Perfect Palette,GOLDENROD,"Goldenrod color is a golden yellow with orange undertones and part of our Accents Collection. Inspired by the goldenrod flowering plant, this hue feels like a sunny, summer day. Pair with other saturated colors like chocolate brown, sapphire blue and emerald green for a sophisticated, rich scheme for a formal space such as a dining room or restaurant.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea120/
DEA121,#F5BC1D,Perfect Palette,GOLDEN LOCK,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea121/
DEA122,#D5AB2C,Perfect Palette,BRASSY,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea122/
DEA123,#DAD000,Perfect Palette,CHARTREUSE,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea123/
DEA124,#C6D624,Perfect Palette,LIME TWIST,"Lime Twist color is a bright, zesty yellow-green that exudes energy and freshness. Its lively, citrusy hue adds a playful and bold touch, perfect for creating vibrant, eye-catching spaces or adding a pop of color to modern designs.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea124/
DEA125,#A3BC3A,Perfect Palette,IN THE TROPICS,"In the Tropics is a bright, saturated, almost fluorescent lime green paint color. Showcase your modern or island-style decor with this energetic accent color that makes a big impact.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea125/
DEA126,#6CB037,Perfect Palette,LEPRECHAUN,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea126/
DEA127,#38914A,Perfect Palette,WILD FOREST,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea127/
DEA128,#4A754A,Perfect Palette,SPRING JUNIPER,"Spring Juniper color is a deep, ivy green and part of our Accents collection. Inspired by the variety of juniper trees growing in the American West, try Spring Juniper in the formal living space to add drama punctuated by lots of molding treatments and layers of fabrics or in a restaurant that highlights indoor/outdoor dining.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea128/
DEA129,#007F3A,Perfect Palette,CHARMED GREEN,,,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea129/
DEA130,#006940,Perfect Palette,LUCKY CLOVER,"Wealthy and playful, this leafy, jungle green paint color brings an abundance of color. Lucky Clover looks great anywhere you want to summon good fortune.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea130/
DEA131,#007765,Perfect Palette,TEAL WATERS,"Teal Waters is a deep teal green color with a touch of blue and part of our Accents Collection. Inspired by the deep-sea waterways, pair Teal Waters with gold and white for a chic color palette in a living room.",,Interior Use Only,https://www.dunnedwards.com/colors/browser/dea131/
DEA132,#006C68,Perfect Palette,OCEAN OASIS,,,,https://www.dunnedwards.com/colors/browser/dea132/
DEA133,#00748E,Perfect Palette,RARE TURQUOISE,"Rare Turquoise is a dark, aquatic, mineral shade of blue-green and part of our Accents Collection. At once uplifting and calming, try Rare Turquoise as a statement color in a living room, dining room, on kitchen cabinets, libraries, dressing rooms, baths and even bedrooms. Pair with neutrals to balance out the boldness of the hue.",,,https://www.dunnedwards.com/colors/browser/dea133/
DEA134,#006477,Perfect Palette,AQUATIC,"Aquatic color is a deep turquoise blue and part of our Accents Collection. Dreamy and mysterious, Aquatic makes a dramatic statement as an accent color on cabinetry and walls throughout the home and exudes color confidence when used on the front door.",,,https://www.dunnedwards.com/colors/browser/dea134/
DEA135,#2A4B5F,Perfect Palette,DEEP OCEAN,"Deep Ocean color is a dark, marine blue with a touch of green undertones and part of our Accents collection. Evoking the mysteries of the ocean depths, Deep Ocean is a sophisticated choice for a whole room maximum impact.",,,https://www.dunnedwards.com/colors/browser/dea135/
DEA136,#186DB6,Perfect Palette,BEAUTIFUL BLUE,"If you're looking for a wow-factor, this is it. Beautiful Blue is a vivid, cobalt blue paint color that is bright and saturated, giving it a bold and playful feel.",,,https://www.dunnedwards.com/colors/browser/dea136/
DEA137,#1D4E8F,Perfect Palette,DEEP SAPPHIRE,,,,https://www.dunnedwards.com/colors/browser/dea137/
DEA138,#324680,Perfect Palette,INDIGO NIGHT,"Indigo Night color is a deep, sapphire blue and is part of our Accents collection. This deep blue is a perfect backdrop to both traditional and modern styles. Try Indigo Night on your kitchen cabinets for added drama.",,,https://www.dunnedwards.com/colors/browser/dea138/
DEA139,#2E4A7D,Perfect Palette,NAUTICAL,,,,https://www.dunnedwards.com/colors/browser/dea139/
DEA140,#3C4378,Perfect Palette,COBALT,,,,https://www.dunnedwards.com/colors/browser/dea140/
DEA141,#534778,Perfect Palette,GRAND PURPLE,,,,https://www.dunnedwards.com/colors/browser/dea141/
DEA142,#644982,Perfect Palette,VIOLET MAJESTY,,,,https://www.dunnedwards.com/colors/browser/dea142/
DEA143,#643E65,Perfect Palette,PURPLE ODYSSEY,"It's time for an adventure! Purple Odyssey is a lush, saturated royal purple paint color. This vibrant purple will transform your home and open up a new set of design possibilities.",,,https://www.dunnedwards.com/colors/browser/dea143/
DEA144,#753A58,Perfect Palette,PASSIONATE PLUM,,,,https://www.dunnedwards.com/colors/browser/dea144/
DEA145,#69444F,Perfect Palette,WINE STAIN,,,,https://www.dunnedwards.com/colors/browser/dea145/
DEA146,#922E4A,Perfect Palette,SCARLET APPLE,"Scarlet Apple color is a deep, scarlet red and part of our Accents collection. Inspired by the beautiful red apples harvested in the fall, try Scarlet Apple on the front door for a welcoming entry or in a candy shop as a vivid backdrop to all the delicious treats on display.",,,https://www.dunnedwards.com/colors/browser/dea146/
DEA147,#763B42,Perfect Palette,GARNET EVENING,,,,https://www.dunnedwards.com/colors/browser/dea147/
DEA148,#6B443D,Perfect Palette,SUNKEN SHIP,,,,https://www.dunnedwards.com/colors/browser/dea148/
DEA149,#85443F,Perfect Palette,SPICED BERRY,,,,https://www.dunnedwards.com/colors/browser/dea149/
DEA150,#A53B3D,Perfect Palette,SCARLET PAST,,,,https://www.dunnedwards.com/colors/browser/dea150/
