name,code,url,family,r,g,b,
Creamy,SW7012,/en-us/color/color-family/white-paint-colors/sw7012-creamy,White,239,232,219,
Crème,SW7556,/en-us/color/color-family/white-paint-colors/sw7556-creme,White,244,232,210,
Crisp Linen,SW6378,/en-us/color/color-family/yellow-paint-colors/sw6378-crisp-linen,Yellow,243,230,212,
Crispy Gold,SW6699,/en-us/color/color-family/yellow-paint-colors/sw6699-crispy-gold,Yellow,196,152,50,
Cruising,SW6782,/en-us/color/color-family/blue-paint-colors/sw6782-cruising,Blue,1,132,152,
Cucumber,SW6722,/en-us/color/color-family/green-paint-colors/sw6722-cucumber,Green,211,223,195,
Cultured Pearl,SW6028,/en-us/color/color-family/purple-paint-colors/sw6028-cultured-pearl,Purple,229,220,214,
Curry,SW6671,/en-us/color/color-family/yellow-paint-colors/sw6671-curry,Yellow,216,143,50,
Cyberspace,SW7076,/en-us/color/color-family/neutral-paint-colors/sw7076-cyberspace,Neutral,68,72,77,
Cyclamen,SW6571,/en-us/color/color-family/red-paint-colors/sw6571-cyclamen,Red,196,123,149,
Daffodil,SW6901,/en-us/color/color-family/yellow-paint-colors/sw6901-daffodil,Yellow,250,217,122,
Dahlia,SW6816,/en-us/color/color-family/purple-paint-colors/sw6816-dahlia,Purple,139,152,196,
Daisy,SW6910,/en-us/color/color-family/yellow-paint-colors/sw6910-daisy,Yellow,254,211,64,
Dancing Green,SW6716,/en-us/color/color-family/green-paint-colors/sw6716-dancing-green,Green,197,205,143,
Danube,SW6803,/en-us/color/color-family/purple-paint-colors/sw6803-danube,Purple,35,119,162,
Daybreak,SW6700,/en-us/color/color-family/yellow-paint-colors/sw6700-daybreak,Yellow,243,234,198,
Decisive Yellow,SW6902,/en-us/color/color-family/yellow-paint-colors/sw6902-decisive-yellow,Yellow,253,204,78,
Décor White,SW7559,/en-us/color/color-family/white-paint-colors/sw7559-decor-white,White,242,229,207,
Delicious Melon,SW6653,/en-us/color/color-family/orange-paint-colors/sw6653-delicious-melon,Orange,245,200,148,
Derbyshire,SW6741,/en-us/color/color-family/green-paint-colors/sw6741-derbyshire,Green,36,94,54,
Determined Orange,SW6635,/en-us/color/color-family/orange-paint-colors/sw6635-determined-orange,Orange,197,102,57,
Dignity Blue,SW6804,/en-us/color/color-family/purple-paint-colors/sw6804-dignity-blue,Purple,9,76,115,
Direct Green,SW6924,/en-us/color/color-family/green-paint-colors/sw6924-direct-green,Green,63,138,36,
Dishy Coral,SW6598,/en-us/color/color-family/red-paint-colors/sw6598-dishy-coral,Red,237,145,144,
Divine White,SW6105,/en-us/color/color-family/white-paint-colors/sw6105-divine-white,White,230,220,205,
Dover White,SW6385,/en-us/color/color-family/white-paint-colors/sw6385-dover-white,White,240,234,220,
Downy,SW7002,/en-us/color/color-family/white-paint-colors/sw7002-downy,White,239,232,221,
Dragon Fruit,SW6855,/en-us/color/color-family/red-paint-colors/sw6855-dragon-fruit,Red,204,97,127,
Dreamy White,SW6021,/en-us/color/color-family/purple-paint-colors/sw6021-dreamy-white,Purple,227,217,213,
Drift of Mist,SW9166,/en-us/color/color-family/neutral-paint-colors/sw9166-drift-of-mist,Neutral,220,216,208,
Dustblu,SW9161,/en-us/color/color-family/neutral-paint-colors/sw9161-dustblu,Neutral,149,155,160,
Dynamic Blue,SW6958,/en-us/color/color-family/blue-paint-colors/sw6958-dynamic-blue,Blue,1,146,198,
Dynamo,SW6841,/en-us/color/color-family/red-paint-colors/sw6841-dynamo,Red,149,61,104,
Eaglet Beige,SW7573,/en-us/color/color-family/white-paint-colors/sw7573-eaglet-beige,White,233,217,192,
Earl Grey,SW7660,/en-us/color/color-family/neutral-paint-colors/sw7660-earl-grey,Neutral,150,154,150,
Earthen Jug,SW7703,/en-us/color/color-family/orange-paint-colors/sw7703-earthen-jug,Orange,168,94,57,
