name,code,rgb,hex
"Tasmanian Sea","S440-5","101,138,138","#658a8a"
"Tealish","S440-6","79,114,113","#4f7271"
"Spring Storm","S450-3","169,198,203","#a9c6cb"
"Crashing Waves","S450-4","134,171,179","#86abb3"
"Oarsman Blue","S450-5","100,141,149","#648d95"
"Cloudy Sky","S470-1","194,213,218","#c2d5da"
"Midnight In The Tropics","S480-7","67,89,100","#435964"
"Essex Blue","S500-2","176,204,218","#b0ccda"
"Prairie Sky","S510-1","198,215,224","#c6d7e0"
"Durango Blue","S510-6","86,103,119","#566777"
"Dark Denim","S510-7","72,80,93","#48505d"
"Private Jet","S520-4","136,157,178","#889db2"
"Layers Of Ocean","S520-6","92,113,134","#5c7186"
"Night Flight","S520-7","67,77,92","#434d5c"
"Soaring Sky","S530-1","196,209,221","#c4d1dd"
"Elevated","S530-2","179,195,212","#b3c3d4"
"Bossa Nova","S540-7","81,85,109","#51556d"
"Knighthood","S550-7","81,84,97","#515461"
"Lavender Honor","S560-2","192,194,210","#c0c2d2"
"Voodoo","S570-7","94,89,103","#5e5967"
"Grayve-Yard","T11-1","161,161,159","#a1a19f"
"Wild Thing","T11-10","101,66,67","#654243"
"Lizard Breath","T11-11","237,187,50","#edbb32"
"Harajuku Girl","T11-12","80,74,111","#504a6f"
"Fuji Snow","T11-13","241,239,232","#f1efe8"
"Kawaii","T11-14","234,171,188","#eaabbc"
"Pinkelicious","T11-15","202,89,110","#ca596e"
"Fjord","T11-16","97,98,66","#616242"
"Wishing Troll","T11-17","154,131,75","#9a834b"
"Aebleskiver","T11-18","230,211,182","#e6d3b6"
"Starlit Night","T11-19","59,71,107","#3b476b"
"Stiletto","T11-2","66,71,82","#424752"
"Lucky Potato","T11-20","239,234,216","#efead8"
"Strike A Pose","T11-3","90,70,89","#5a4659"
"Blood Rose","T11-4","115,64,77","#73404d"
"Not So Innocent","T11-5","106,105,104","#6a6968"
"Almost Famous","T11-6","58,84,87","#3a5457"
"Fretwire","T11-7","178,164,144","#b2a490"
"Back Stage","T11-8","107,98,91","#6b625b"
"Drum Solo","T11-9","166,110,75","#a66e4b"
"Prairie Poppy","T12-1","174,95,85","#ae5f55"
"Game Over","T12-10","126,129,129","#7e8181"
"Compass","T12-11","138,135,123","#8a877b"
"Jackal","T12-12","169,160,147","#a9a093"
"Tribal Drum","T12-13","81,72,67","#514843"
"Livingstone","T12-14","202,191,175","#cabfaf"
"Serengeti Dust","T12-15","231,219,201","#e7dbc9"
"Queen's Tart","T12-16","211,188,197","#d3bcc5"
"Violet Water","T12-17","210,214,230","#d2d6e6"
"Minty Frosting","T12-18","219,232,207","#dbe8cf"
"Sugar Pool","T12-19","174,214,212","#aed6d4"
"Stagecoach","T12-2","127,90,68","#7f5a44"
"First Peach","T12-20","244,202,198","#f4cac6"
"Canyon Sunset","T12-3","164,166,178","#a4a6b2"
"Darlin Clementine","T12-4","210,159,122","#d29f7a"
"Lone Star","T12-5","192,148,88","#c09458"
"Lol Yellow","T12-6","231,205,139","#e7cd8b"
"Red Wire","T12-7","219,89,71","#db5947"
"Reboot","T12-8","40,168,205","#28a8cd"
"Level Up","T12-9","70,135,65","#468741"
"Daah-Ling","T13-1","170,97,121","#aa6179"
"Plum Orbit","T13-10","78,65,75","#4e414b"
"Bee's Knees","T13-11","232,217,210","#e8d9d2"
"Jazzy Jade","T13-12","176,205,186","#b0cdba"
"Flapper Dance","T13-13","73,87,98","#495762"
"Heavy Sugar","T13-14","239,245,241","#eff5f1"
"Shanghai Peach","T13-15","215,154,145","#d79a91"
"Pine Cone Pass","T13-16","92,100,86","#5c6456"
"Timber Town","T13-17","144,141,133","#908d85"
"Ski Patrol","T13-18","169,81,90","#a9515a"
"Gnome Green","T13-19","196,188,132","#c4bc84"
"Empire Porcelain","T13-2","224,219,211","#e0dbd3"
"Folk Song","T13-20","101,161,159","#65a19f"
"Black Lacquer","T13-3","63,62,62","#3f3e3e"
"Golden Age","T13-4","189,163,126","#bda37e"
"Belladonna","T13-5","114,148,178","#7294b2"
"Twilight","T13-6","158,170,179","#9eaab3"
"Tan-Gent","T13-7","182,144,115","#b69073"
"Matrix","T13-8","202,189,171","#cabdab"
"Electrify","T13-9","86,101,160","#5665a0"
"Ocean Liner","T14-1","138,186,179","#8abab3"
"Coffee Bar","T14-10","97,90,90","#615a5a"
"Imperial Jewel","T14-11","105,62,66","#693e42"
"Coronation","T14-12","175,128,92","#af805c"
"Grand Soiree","T14-13","217,194,168","#d9c2a8"
"Cloisonne Blue","T14-14","132,161,173","#84a1ad"
"Minuet Rose","T14-15","179,128,129","#b38081"
"Arboretum","T14-16","58,72,71","#3a4847"
"Archivist","T14-17","159,140,115","#9f8c73"
"New Shoot","T14-18","134,158,62","#869e3e"
"Sunday Afternoon","T14-19","246,199,120","#f6c778"
"South Peach","T14-2","234,210,187","#ead2bb"
"Amaryllis","T14-20","184,80,69","#b85045"
"Miami Weiss","T14-3","237,228,211","#ede4d3"
"Edgewater","T14-4","94,171,128","#5eab80"
"Sky Blue","T14-5","211,233,229","#d3e9e5"
"Boho","T14-6","123,104,77","#7b684d"
"Offbeat","T14-7","214,208,198","#d6d0c6"
"Film Fest","T14-8","147,135,124","#93877c"
"Hipsterfication","T14-9","136,81,62","#88513e"
"Liaison","T15-1","140,63,82","#8c3f52"
"Clarified Orange","T15-10","254,161,91","#fea15b"
"Sonic Blue","T15-11","91,168,185","#5ba8b9"
"Graphic Grape","T15-12","130,78,120","#824e78"
"Prime Purple","T15-13","101,98,147","#656293"
"Super Hero","T15-14","202,83,91","#ca535b"
"Plastic Lime","T15-15","237,220,112","#eddc70"
