name,code,rgb,hex
"Floral Arrangement","PMD-94","198,172,159","#c6ac9f"
"Coastal Surf","PMD-95","169,202,204","#a9cacc"
"Wild Wheat","PMD-96","228,188,116","#e4bc74"
"Eastern Spice","PMD-97","219,168,127","#dba87f"
"Painted Skies","PMD-98","178,135,116","#b28774"
"Artic Ocean","PMD-99","175,190,193","#afbec1"
"Tile Red","PPF-01","119,66,66","#774242"
"Patio Green","PPF-02","63,90,80","#3f5a50"
"Balcony Rose","PPF-10","200,180,172","#c8b4ac"
"Shaded Hammock","PPF-11","226,222,213","#e2ded5"
"Sunny Gazebo","PPF-12","237,225,204","#ede1cc"
"Sunning Deck","PPF-13","232,215,177","#e8d7b1"
"Traditional Tan","PPF-14","214,210,192","#d6d2c0"
"Crushed Limestone","PPF-15","227,226,210","#e3e2d2"
"Paving Stones","PPF-16","203,204,196","#cbccc4"
"Foggy Morn","PPF-17","202,208,206","#cad0ce"
"Gazebo Gray","PPF-18","209,208,203","#d1d0cb"
"New England Brick","PPF-20","173,112,101","#ad7065"
"Porch Swing Beige","PPF-21","210,202,190","#d2cabe"
"Inviting Veranda","PPF-22","230,212,188","#e6d4bc"
"Welcome Walkway","PPF-23","212,198,167","#d4c6a7"
"Garden Lattice","PPF-24","191,190,164","#bfbea4"
"Terrace View","PPF-25","202,208,191","#cad0bf"
"Polished Rock","PPF-26","188,195,194","#bcc3c2"
"Porch Ceiling","PPF-27","164,179,185","#a4b3b9"
"Blue Dusk","PPF-28","140,149,157","#8c959d"
"Traditional Gray","PPF-29","199,199,193","#c7c7c1"
"Deep Terra Cotta","PPF-30","139,72,61","#8b483d"
"Pebbled Path","PPF-31","160,150,141","#a0968d"
"Light Rattan","PPF-32","209,193,170","#d1c1aa"
"Terrace Taupe","PPF-33","178,171,156","#b2ab9c"
"Peaceful Glade","PPF-34","135,142,131","#878e83"
"Green Adirondack","PPF-35","104,136,120","#688878"
"Veranda Charm","PPF-36","158,177,175","#9eb1af"
"Rocky Creek","PPF-37","111,132,142","#6f848e"
"Deep Shale","PPF-38","115,124,132","#737c84"
"Cool Granite","PPF-39","171,172,168","#abaca8"
"Rocking Chair Red","PPF-40","144,65,61","#90413d"
"Cedar Plank","PPF-41","139,120,111","#8b786f"
"Gathering Place","PPF-42","205,175,145","#cdaf91"
"Shady Oak","PPF-43","144,138,122","#908a7a"
"Nature Surrounds","PPF-44","82,99,75","#52634b"
"Woodland Moss","PPF-45","92,100,92","#5c645c"
"Leisure Time","PPF-46","117,140,143","#758c8f"
"Porch Song","PPF-47","86,111,140","#566f8c"
"Evening Storm","PPF-48","70,80,88","#465058"
"Platinum Gray","PPF-49","106,109,111","#6a6d6f"
"Fired Brick","PPF-50","114,72,76","#72484c"
"Dark Walnut","PPF-51","86,68,62","#56443e"
"Rich Brown","PPF-52","113,94,79","#715e4f"
"Winding Path","PPF-53","133,124,113","#857c71"
"Trellised Ivy","PPF-54","61,73,65","#3d4941"
"Forest Floor","PPF-55","71,77,71","#474d47"
"Terrace Teal","PPF-56","39,91,96","#275b60"
"Lake View","PPF-57","46,73,103","#2e4967"
"Dark Night","PPF-58","64,75,87","#404b57"
"Raven Black","PPF-59","61,61,61","#3d3d3d"
"Baby Yellow","PPH-01","255,241,212","#fff1d4"
"Corn","PPH-02","255,232,171","#ffe8ab"
"Pineapple Fruit","PPH-03","255,217,122","#ffd97a"
"Juicy Mango","PPH-04","255,208,141","#ffd08d"
"November Gold","PPH-05","246,178,101","#f6b265"
"Rice Drink","PPH-06","242,233,217","#f2e9d9"
"Pearly Lace","PPH-07","247,235,214","#f7ebd6"
"Cookie","PPH-08","255,226,183","#ffe2b7"
"Sun Rock","PPH-09","234,193,133","#eac185"
"Creamy Nougat","PPH-10","212,184,143","#d4b88f"
"Cardboard","PPH-11","187,158,126","#bb9e7e"
"Ivory","PPH-12","249,236,218","#f9ecda"
"Vanilla Cone","PPH-13","242,217,184","#f2d9b8"
"Roasted Almond","PPH-14","232,214,189","#e8d6bd"
"Nut Flavor","PPH-15","215,190,164","#d7bea4"
"Tamarind Tree","PPH-16","205,161,130","#cda182"
"Sweet Caramel","PPH-17","214,158,107","#d69e6b"
"Marshmallow","PPH-18","245,239,229","#f5efe5"
"Clam","PPH-19","245,224,201","#f5e0c9"
"Toasted Bread","PPH-20","232,190,153","#e8be99"
"Ripe Peach","PPH-21","255,185,120","#ffb978"
"Mamey Fruit","PPH-22","235,161,128","#eba180"
"Monarch Orange","PPH-23","239,160,107","#efa06b"
"Tender","PPH-24","247,232,215","#f7e8d7"
"Grapefruit","PPH-25","255,222,205","#ffdecd"
"Pale Peach","PPH-26","255,216,187","#ffd8bb"
"Guava Juice","PPH-27","244,182,148","#f4b694"
"Fresh Salmon","PPH-28","251,177,162","#fbb1a2"
"Clay Mug","PPH-29","211,121,89","#d37959"
"Almost Pink","PPH-30","240,227,218","#f0e3da"
"Old Rose","PPH-31","240,227,223","#f0e3df"
"Pretty Pink","PPH-32","239,217,225","#efd9e1"
"Carnation Bouquet","PPH-33","245,192,208","#f5c0d0"
"Black Smoke","PPH-34","62,62,63","#3e3e3f"
"Sea Breeze","PPH-35","210,224,239","#d2e0ef"
"Quartz","PPH-36","199,208,218","#c7d0da"
"Lilac Blossom","PPH-37","224,224,235","#e0e0eb"
"Wild Violet","PPH-38","172,167,203","#aca7cb"
"Spring Blue","PPH-39","226,239,242","#e2eff2"
"Lovely Blue Sky","PPH-40","201,227,235","#c9e3eb"
"April Winds","PPH-41","213,226,229","#d5e2e5"
"Nautical Gray","PPH-42","188,199,203","#bcc7cb"
"Gray Pearl","PPH-43","206,208,207","#ced0cf"
"Volcanic Gray","PPH-44","121,115,113","#797371"
"Pastel Green","PPH-45","237,245,231","#edf5e7"
"Chayote Squash","PPH-46","199,226,198","#c7e2c6"
"Summer Festival","PPH-47","181,225,219","#b5e1db"
"Blue Cotton","PPH-48","193,219,236","#c1dbec"
"Blue Bubble","PPH-49","166,215,235","#a6d7eb"
"Turquoise Blue","PPH-50","106,186,196","#6abac4"
"Herb Garden","PPH-51","198,202,167","#c6caa7"
"Blue Tequila","PPH-52","192,207,199","#c0cfc7"
"Green Amazons","PPH-53","152,168,147","#98a893"
"Turtle Green","PPH-54","167,173,141","#a7ad8d"
"Green Herb","PPH-55","164,192,138","#a4c08a"
"Lime Lollipop","PPH-56","180,189,122","#b4bd7a"
"Peacock Blue","PPH-57","83,127,175","#537faf"
"Caribbean Blue","PPH-58","0,137,196","#0089c4"
"Holy Herb","PPH-59","119,163,115","#77a373"
"Green Bottle","PPH-60","68,106,75","#446a4b"
"Barely Pink","100A-1","244,234,235","#f4eaeb"
"Be Mine","100A-2","244,227,231","#f4e3e7"
"Scented Valentine","100A-3","242,211,221","#f2d3dd"
"Pink Chintz","100B-4","239,190,207","#efbecf"
"Springtime Bloom","100B-5","219,136,172","#db88ac"
"Fuchsia Kiss","100B-6","203,110,152","#cb6e98"
"Hot Pink","100B-7","172,77,116","#ac4d74"
"Cupid Arrow","100C-1","245,226,226","#f5e2e2"
"Cool Pink","100C-2","229,204,209","#e5ccd1"
"Birthday Candle","100C-3","207,162,173","#cfa2ad"
"Degas Pink","100D-4","179,126,140","#b37e8c"
"Berries And Cream","100D-5","158,106,117","#9e6a75"
"Rose Garland","100D-6","134,90,100","#865a64"
"Maroon","100D-7","121,78,92","#794e5c"
"Coquette","100E-1","229,220,220","#e5dcdc"
"Mauve Mist","100E-2","221,211,213","#ddd3d5"
"Pastel Violet","100E-3","204,188,190","#ccbcbe"
"Dark Lilac","100F-4","182,163,165","#b6a3a5"
"Gypsy Magic","100F-5","145,125,130","#917d82"
"Plum Shade","100F-6","120,101,105","#786569"
"Deep Aubergine","100F-7","92,74,77","#5c4a4d"
"Ballerina Gown","110A-1","249,234,234","#f9eaea"
"Poetic Princess","110A-2","248,225,228","#f8e1e4"
"Palace Rose","110A-3","248,202,213","#f8cad5"
"Foxy Pink","110B-4","219,149,171","#db95ab"
"Silk Ribbon","110B-5","200,110,139","#c86e8b"
"Cran Brook","110B-6","166,85,112","#a65570"
"Raspberry Pudding","110B-7","148,67,90","#94435a"
"Petal Bloom","110C-1","247,213,218","#f7d5da"
"Colonial Rose","110C-2","231,182,188","#e7b6bc"
"Glamour","110C-3","219,157,167","#db9da7"
"Rosily","110D-4","190,117,131","#be7583"
"Mission Wildflower","110D-5","158,85,102","#9e5566"
"Haunting Melody","110D-6","130,72,85","#824855"
"Vin Rouge","110D-7","107,65,74","#6b414a"
"Whimsical White","110E-1","236,228,226","#ece4e2"
"Brook Trout","110E-2","218,206,205","#dacecd"
"Dusky Violet","110E-3","208,191,190","#d0bfbe"
"Heirloom Orchid","110F-4","174,153,153","#ae9999"
"Phantom Hue","110F-5","146,118,119","#927677"
"Purplestone","110F-6","125,93,94","#7d5d5e"
"Deep Garnet","110F-7","95,66,70","#5f4246"
"Light Chiffon","120A-1","244,231,229","#f4e7e5"
"Delicate Rose","120A-2","246,221,223","#f6dddf"
"Lovelight","120A-3","247,214,216","#f7d6d8"
"Old Fashioned Pink","120B-4","244,198,204","#f4c6cc"
"Candy Coated","120B-5","239,159,170","#ef9faa"
"Watermelon Pink","120B-6","227,118,137","#e37689"
"Tropical Smoothie","120B-7","197,85,109","#c5556d"
"April Blush","120C-1","246,208,216","#f6d0d8"
"Pink Punch","120C-2","246,188,198","#f6bcc6"
"Rose Marquis","120C-3","221,148,161","#dd94a1"
"Mulberry","120D-4","190,102,122","#be667a"
"Glazed Raspberry","120D-5","164,75,98","#a44b62"
"Cranberry Splash","120D-6","141,66,84","#8d4254"
"Ruby Red","120D-7","127,62,75","#7f3e4b"
"Dreamy White","120E-1","227,216,213","#e3d8d5"
"French Taupe","120E-2","211,194,191","#d3c2bf"
"Subdued Hue","120E-3","198,177,173","#c6b1ad"
"Blackberry Mocha","120F-4","165,136,133","#a58885"
"Hickory Stick","120F-5","153,119,114","#997772"
"Japanese Maple","120F-6","121,87,87","#795757"
"Plum Raisin","120F-7","100,72,71","#644847"
"Sweet Nothing","130A-1","250,230,225","#fae6e1"
"Fading Rose","130A-2","250,208,209","#fad0d1"
"Ballerina Pink","130A-3","247,182,186","#f7b6ba"
"Primrose Garden","130B-4","242,155,160","#f29ba0"
"Bridesmaid","130B-5","235,133,142","#eb858e"
"Dragon Fruit","130B-6","215,89,105","#d75969"
"Cherry Wine","130B-7","176,69,86","#b04556"
"Powdered Blush","130C-1","248,220,219","#f8dcdb"
"Cafe Pink","130C-2","236,193,194","#ecc1c2"
"Raspberry Lemonade","130C-3","225,170,175","#e1aaaf"
"Rose Sachet","130D-4","206,133,143","#ce858f"
"Rhubarb","130D-5","176,94,103","#b05e67"
"Sweet Spiceberry","130D-6","161,76,89","#a14c59"
"Cranapple","130D-7","136,61,73","#883d49"
"Glaze White","130E-1","234,225,223","#eae1df"
"Fairview Taupe","130E-2","218,199,196","#dac7c4"
"Rosy Tan","130E-3","200,171,167","#c8aba7"
"Fond Memory","130F-4","182,153,150","#b69996"
"Mushroom Basket","130F-5","151,122,118","#977a76"
"Brazil Nut","130F-6","133,103,101","#856765"
"Semi Sweet","130F-7","107,82,80","#6b5250"
"Strawberry Yogurt","140A-1","246,226,222","#f6e2de"
"Coy Pink","140A-2","249,218,216","#f9dad8"
"Carnation Bloom","140A-3","249,192,190","#f9c0be"
"Island Coral","140B-4","242,157,161","#f29da1"
"Flamingo Dream","140B-5","238,136,139","#ee888b"
"Italiano Rose","140B-6","209,97,105","#d16169"
"Frosted Pomgranate","140B-7","173,61,70","#ad3d46"
"Southern Beauty","140C-1","247,221,219","#f7dddb"
"My Fair Lady","140C-2","243,196,194","#f3c4c2"
"Hibiscus Petal","140C-3","237,170,172","#edaaac"
"Fresh Pink","140D-4","225,144,145","#e19091"
"Rose Chintz","140D-5","199,117,121","#c77579"
"Shangri La","140D-6","178,93,98","#b25d62"
"Classic Cherry","140D-7","151,65,70","#974146"
"Patient White","140E-1","237,226,222","#ede2de"
"Royal Silk","140E-2","222,200,197","#dec8c5"
"Rose Bisque","140E-3","201,168,166","#c9a8a6"
"Bedford Brown","140F-4","169,127,125","#a97f7d"
"Clay Ridge","140F-5","149,107,106","#956b6a"
"Book Binder","140F-6","128,93,91","#805d5b"
"Embarcadero","140F-7","93,70,67","#5d4643"
"Silk Sheets","150A-1","249,227,222","#f9e3de"
"Rose Sorbet","150A-2","251,211,205","#fbd3cd"
"Mixed Fruit","150A-3","249,186,178","#f9bab2"
"Pink Eraser","150B-4","243,160,154","#f3a09a"
"Cheery","150B-5","240,138,136","#f08a88"
"Firecracker","150B-6","222,90,89","#de5a59"
"Poinsettia","150B-7","193,65,65","#c14141"
"Musical Mist","150C-1","248,234,230","#f8eae6"
"Hawaiian Shell","150C-2","243,214,210","#f3d6d2"
"Arizona Sunrise","150C-3","235,188,185","#ebbcb9"
"Pale Berry","150D-4","227,158,156","#e39e9c"
"Deep Bloom","150D-5","197,119,118","#c57776"
"Strawberry Rhubarb","150D-6","185,99,100","#b96364"
"Regal Red","150D-7","153,72,74","#99484a"
"Delicate Blush","150E-1","239,215,209","#efd7d1"
"Kashmir Pink","150E-2","233,200,195","#e9c8c3"
"Calico Rose","150E-3","204,161,158","#cca19e"
"Victorian Mauve","150F-4","182,139,136","#b68b88"
"Mulled Wine","150F-5","155,112,110","#9b706e"
"Gallery Red","150F-6","147,90,89","#935a59"
"Burnt Tile","150F-7","119,70,69","#774645"
"Cream Rose","160A-1","247,228,223","#f7e4df"
"Pale Shrimp","160A-2","248,219,214","#f8dbd6"
"Pink Hydrangea","160A-3","248,193,187","#f8c1bb"
"Modestly Peach","160B-4","238,165,157","#eea59d"
"Candy Mix","160B-5","226,134,130","#e28682"
"Coral Expression","160B-6","215,106,105","#d76a69"
"Daredevil","160B-7","171,67,67","#ab4343"
"Floral Linen","160C-1","247,223,217","#f7dfd9"
"Flush Pink","160C-2","248,203,196","#f8cbc4"
"Rose Silk","160C-3","231,175,168","#e7afa8"
"Strawberry Rose","160D-4","226,153,145","#e29991"
"Lovable","160D-5","200,117,112","#c87570"
"Pottery Red","160D-6","176,93,89","#b05d59"
"Cranberry Whip","160D-7","142,69,65","#8e4541"
"Milady","160E-1","238,225,220","#eee1dc"
"Pink Water","160E-2","224,201,196","#e0c9c4"
"Rose Potpourri","160E-3","201,165,159","#c9a59f"
"Ponder","160F-4","184,143,136","#b88f88"
"Rum Spice","160F-5","170,121,113","#aa7971"
"Boston Brick","160F-6","135,84,78","#87544e"
"Burnished Mahogany","160F-7","115,72,66","#734842"
"Pink Parfait","170A-1","250,221,213","#faddd5"
"Strawberry Mousse","170A-2","251,204,193","#fbccc1"
"Ruffles","170A-3","251,187,174","#fbbbae"
"Cool Melon","170B-4","243,158,144","#f39e90"
"Youthful Coral","170B-5","238,128,115","#ee8073"
"Lipstick","170B-6","223,91,82","#df5b52"
"Red Tomato","170B-7","177,64,58","#b1403a"
"Berry Cheesecake","170C-1","248,227,221","#f8e3dd"
"Creamy Peach","170C-2","251,215,206","#fbd7ce"
"Coral Bells","170C-3","251,197,187","#fbc5bb"
"Peach Tile","170D-4","239,164,152","#efa498"
"Mellow Coral","170D-5","224,137,126","#e0897e"
"Rose Wine","170D-6","185,101,95","#b9655f"
"Farmhouse Red","170D-7","163,75,65","#a34b41"
"Reverie Pink","170E-1","244,229,225","#f4e5e1"
"Blush Beige","170E-2","229,203,198","#e5cbc6"
"Bridal Rose","170E-3","216,182,174","#d8b6ae"
"Fondue","170F-4","201,159,151","#c99f97"
"Brick Dust","170F-5","184,142,133","#b88e85"
"Gentle Doe","170F-6","154,111,103","#9a6f67"
"Leather Bound","170F-7","119,78,72","#774e48"
"Cloud Pink","180A-1","251,228,219","#fbe4db"
"Romantic Morn","180A-2","252,213,203","#fcd5cb"
"Just Blush","180A-3","250,180,164","#fab4a4"
"Fruit Shake","180B-4","243,157,141","#f39d8d"
"Cool Lava","180B-5","233,124,107","#e97c6b"
"Fiery Red","180B-6","218,89,73","#da5949"
"Chili Pepper","180B-7","207,71,55","#cf4737"
"Paris White","180C-1","247,227,221","#f7e3dd"
"Sandblast","180C-2","245,201,191","#f5c9bf"
"Rose Linen","180C-3","232,174,162","#e8aea2"
"Coral Serenade","180D-4","220,151,138","#dc978a"
"Sahara Sun","180D-5","199,117,107","#c7756b"
"Mineral Red","180D-6","180,103,94","#b4675e"
"Roasted Pepper","180D-7","143,71,64","#8f4740"
"Italian Villa","180E-1","237,227,220","#ede3dc"
"Sugar Berry","180E-2","227,212,205","#e3d4cd"
"Plymouth Notch","180E-3","205,179,172","#cdb3ac"
"Desert Willow","180F-4","177,147,139","#b1938b"
"Cougar","180F-5","154,127,120","#9a7f78"
"Brown Ridge","180F-6","115,88,82","#735852"
"Warm Brownie","180F-7","96,72,64","#604840"
"Ultra Pure White","WHITE-1850","248,248,243","#f8f8f3"
"Soft Pink","190A-1","250,229,220","#fae5dc"
"Coral Mantle","190A-2","252,214,203","#fcd6cb"
"Salmon Peach","190A-3","253,197,181","#fdc5b5"
"Duchess Rose","190B-4","247,170,151","#f7aa97"
"Juicy Passionfruit","190B-5","241,136,112","#f18870"
"Wet Coral","190B-6","231,110,84","#e76e54"
"Fire Island","190B-7","217,81,55","#d95137"
"Frolic","190C-1","249,231,225","#f9e7e1"
"Sweet Nectar","190C-3","250,189,175","#fabdaf"
"Rosy Outlook","190D-4","245,171,158","#f5ab9e"
"Peony Pink","190D-5","227,140,127","#e38c7f"
"Red Jalapeno","190D-6","191,97,83","#bf6153"
"Briquette","190D-7","146,70,59","#92463b"
"Light Rosebeige","190E-1","249,235,228","#f9ebe4"
"Misty Memories","190E-2","236,211,203","#ecd3cb"
"Velveteen Crush","190E-3","208,173,165","#d0ada5"
"Warm Comfort","190F-4","179,138,130","#b38a82"
"Brandy","190F-5","159,109,100","#9f6d64"
"Bold Brick","190F-6","140,94,85","#8c5e55"
"Mayan Red","190F-7","108,74,67","#6c4a43"
"Peach Cloud","200A-1","252,226,216","#fce2d8"
"Coral Cream","200A-2","253,212,198","#fdd4c6"
"Blushing Apricot","200A-3","251,188,167","#fbbca7"
"Citrus Hill","200B-4","249,167,141","#f9a78d"
"Indian Dance","200B-5","244,148,118","#f49476"
"Mesa Sunrise","200B-6","234,129,96","#ea8160"
"Fireglow","200B-7","214,94,64","#d65e40"
"Hush Pink","200C-1","248,233,226","#f8e9e2"
"Botticelli Angel","200C-2","251,223,214","#fbdfd6"
"Spring Song","200C-3","250,204,191","#faccbf"
"Powdered Petals","200D-4","240,170,154","#f0aa9a"
"Guava Jam","200D-5","224,135,113","#e08771"
"Mexican Chile","200D-6","189,95,78","#bd5f4e"
"Rodeo Red","200D-7","162,75,58","#a24b3a"
"Possibly Pink","200E-1","243,218,206","#f3dace"
"Salmon Tint","200E-2","239,204,191","#efccbf"
"Cinnamon Cocoa","200E-3","209,167,156","#d1a79c"
"Foxen","200F-4","191,142,127","#bf8e7f"
"Toasted Nutmeg","200F-5","164,115,101","#a47365"
"Sequoia Grove","200F-6","147,94,78","#935e4e"
"Wine Barrel","200F-7","121,77,66","#794d42"
"Cool Cream","210A-1","251,229,217","#fbe5d9"
"Coral Dune","210A-2","252,213,197","#fcd5c5"
"Malibu Peach","210A-3","253,200,179","#fdc8b3"
"Sunset Strip","210B-4","250,172,143","#faac8f"
"Tangerine Dream","210B-5","246,144,104","#f69068"
"Aurora Orange","210B-6","236,112,66","#ec7042"
"Flame","210B-7","232,99,51","#e86333"
"Angel Blush","210C-1","247,227,218","#f7e3da"
"Demure Pink","210C-2","247,210,196","#f7d2c4"
"Jovial","210C-3","238,185,167","#eeb9a7"
"Medium Terracotta","210D-4","220,157,139","#dc9d8b"
"Copperleaf","210D-5","207,136,116","#cf8874"
"Caribbean Coral","210D-6","192,119,97","#c07761"
"Firebrick","210D-7","156,87,67","#9c5743"
"Bella Pink","210E-1","247,235,225","#f7ebe1"
"Antique Pearl","210E-2","235,215,203","#ebd7cb"
"Almond Willow","210E-3","230,201,188","#e6c9bc"
"Cinnamon Whip","210F-4","218,178,164","#dab2a4"
"Artifact","210F-5","202,157,141","#ca9d8d"
"Chutney Brown","210F-6","169,119,101","#a97765"
"Brown Thrush","210F-7","144,97,81","#906151"
"Powdered Peach","220A-1","253,226,209","#fde2d1"
"Friendship","220A-2","254,216,194","#fed8c2"
"Sweet Apricot","220A-3","252,192,166","#fcc0a6"
"Orange Grove","220B-4","251,175,141","#fbaf8d"
"Autumn Arrival","220B-5","249,152,111","#f9986f"
"Harvest Pumpkin","220B-6","242,129,79","#f2814f"
"Electric Orange","220B-7","234,107,49","#ea6b31"
"White Peach","220C-1","249,230,218","#f9e6da"
"Peachtree","220C-2","253,220,205","#fddccd"
"Antique Cameo","220C-3","240,186,164","#f0baa4"
"Southwest Stone","220D-4","222,159,133","#de9f85"
"Nectarina","220D-5","211,141,114","#d38d72"
"Miami Spice","220D-6","194,126,100","#c27e64"
"Mojave Sunset","220D-7","170,106,83","#aa6a53"
"Tantalizing Tan","220E-1","243,220,209","#f3dcd1"
"Shrimp Toast","220E-2","237,207,193","#edcfc1"
"Melted Ice Cream","220E-3","220,183,166","#dcb7a6"
"Sombrero Tan","220F-4","203,163,145","#cba391"
"Light Mocha","220F-5","177,134,115","#b18673"
"Chocolate Curl","220F-6","145,109,94","#916d5e"
"Yorkshire Brown","220F-7","115,92,83","#735c53"
"Shell Ginger","230A-1","249,228,214","#f9e4d6"
"Beach Trail","230A-2","254,222,202","#fedeca"
"Apricot Lily","230A-3","254,207,181","#fecfb5"
"Desert Sunrise","230B-4","252,181,141","#fcb58d"
"Indian Paint Brush","230B-5","250,151,97","#fa9761"
"Orange Burst","230B-6","246,130,56","#f68238"
"Kumquat","230B-7","244,120,47","#f4782f"
"Winthrop Peach","230C-1","253,230,214","#fde6d6"
"Shell Coral","230C-2","255,217,195","#ffd9c3"
"Pink Beach","230C-3","246,195,166","#f6c3a6"
"Pecos Spice","230D-4","225,160,128","#e1a080"
"Aztec Brick","230D-5","204,136,105","#cc8869"
"Iced Tea","230D-6","184,114,83","#b87253"
"Cinnamon Brandy","230D-7","152,90,59","#985a3b"
"Early Sunset","230E-1","243,227,216","#f3e3d8"
"Malibu Coast","230E-2","231,207,194","#e7cfc2"
"Canyon Trail","230E-3","214,184,169","#d6b8a9"
"Autumn Malt","230F-4","206,164,142","#cea48e"
"Suntan Glow","230F-5","190,140,116","#be8c74"
"Earth Tone","230F-6","160,110,87","#a06e57"
"Florence Brown","230F-7","131,87,64","#835740"
"Parfait","240A-1","251,230,217","#fbe6d9"
"Sunkissed Peach","240A-2","254,216,191","#fed8bf"
"Bright Citrus","240A-3","255,198,165","#ffc6a5"
"Marmalade","240B-4","252,167,116","#fca774"
"Candied Yam","240B-5","244,147,91","#f4935b"
"Orange Zest","240B-6","236,131,74","#ec834a"
"Carrot Stick","240B-7","223,120,54","#df7836"
"Pink Blossom","240C-1","251,233,221","#fbe9dd"
"Heavenly Song","240C-2","251,217,198","#fbd9c6"
"Peach Damask","240C-3","246,196,166","#f6c4a6"
"Ceramic Glaze","240D-4","232,167,132","#e8a784"
"Grounded","240D-5","209,140,98","#d18c62"
"Chivalry Copper","240D-6","191,120,78","#bf784e"
"Chestnut Stallion","240D-7","153,93,59","#995d3b"
"Muffin Mix","240E-1","245,224,208","#f5e0d0"
"Peach Bud","240E-2","239,201,177","#efc9b1"
"Coronado Dunes","240E-3","213,166,141","#d5a68d"
"Tiny Fawn","240F-4","192,139,109","#c08b6d"
"Toasted Chestnut","240F-5","167,119,91","#a7775b"
"Sable Brown","240F-6","148,106,82","#946a52"
"Root Beer","240F-7","119,82,64","#775240"
"Fine White","250A-1","250,237,225","#faede1"
"Wistful Beige","250A-2","252,234,218","#fceada"
"Whispering Peach","250A-3","254,220,195","#fedcc3"
"Coral Gold","250B-4","255,185,134","#ffb986"
"Orange Spice","250B-5","254,160,96","#fea060"
"Poppy Glow","250B-6","241,140,73","#f18c49"
"Crushed Orange","250B-7","227,119,48","#e37730"
"Bermuda Shell","250C-1","249,238,227","#f9eee3"
"Sugared Peach","250C-2","253,220,198","#fddcc6"
"Fresco Cream","250C-3","252,201,166","#fcc9a6"
"Autumn Mist","250D-4","247,180,134","#f7b486"
"Florida Mango","250D-5","237,159,108","#ed9f6c"
"Maple Leaf","250D-6","209,123,65","#d17b41"
"Caramelized Orange","250D-7","181,100,55","#b56437"
"Eurolinen","250E-1","238,226,211","#eee2d3"
"Pebbled Courtyard","250E-2","222,202,185","#decab9"
"Wild Porcini","250E-3","214,192,170","#d6c0aa"
"Fudge Bar","250F-5","153,121,100","#997964"
"Pepper Spice","250F-6","142,112,89","#8e7059"
"Melted Chocolate","250F-7","120,95,76","#785f4c"
"Feather White","260A-1","250,231,215","#fae7d7"
"Derry Coast Sunrise","260A-2","249,225,207","#f9e1cf"
"Peach Beige","260A-3","255,214,185","#ffd6b9"
"Orange Sherbet","260B-4","254,196,155","#fec49b"
"Cantaloupe Slice","260B-5","254,176,121","#feb079"
"Blaze Orange","260B-6","245,155,90","#f59b5a"
"Bird Of Paradise","260B-7","241,143,70","#f18f46"
"Autumn White","260C-1","250,226,207","#fae2cf"
"Salmon Creek","260C-2","254,221,197","#feddc5"
"Fresh Peaches","260C-3","246,185,138","#f6b98a"
"Copper River","260D-4","233,160,105","#e9a069"
"Amber Wave","260D-5","215,139,85","#d78b55"
"Chai Spice","260D-6","189,124,79","#bd7c4f"
"Copper Mountain","260D-7","171,113,74","#ab714a"
"Lilting Laughter","260E-1","252,235,216","#fcebd8"
"Clamshell","260E-2","237,208,182","#edd0b6"
"Pueblo Sand","260E-3","231,195,164","#e7c3a4"
"Sunset Beige","260F-4","208,165,132","#d0a584"
"Applesauce Cake","260F-5","191,143,109","#bf8f6d"
"Smokey Topaz","260F-6","165,123,91","#a57b5b"
"Caramel Latte","260F-7","140,99,66","#8c6342"
"Peach Fade","270A-1","252,233,214","#fce9d6"
"Orange Ice","270A-2","255,222,193","#ffdec1"
"Luminary","270A-3","255,211,171","#ffd3ab"
"Apricot Flower","270B-4","255,187,128","#ffbb80"
"Melon","270B-5","253,167,94","#fda75e"
"Autumn Orange","270B-6","238,153,80","#ee9950"
"Bonfire","270B-7","216,125,48","#d87d30"
"Naive Peach","270C-1","252,231,211","#fce7d3"
"Shrimp Cocktail","270C-2","255,217,189","#ffd9bd"
"Coral Confection","270C-3","252,204,167","#fccca7"
"Brandy Butter","270D-4","243,187,143","#f3bb8f"
"Adventure Orange","270D-5","237,163,103","#eda367"
"Pumpkin Toast","270D-6","222,148,86","#de9456"
"Fall Leaves","270D-7","193,122,60","#c17a3c"
"Orange Confection","270E-1","244,227,210","#f4e3d2"
"Sandpoint","270E-2","234,205,176","#eacdb0"
"Only Natural","270E-3","225,188,153","#e1bc99"
"Peanut Butter","270F-4","201,162,125","#c9a27d"
"Wilmington Tan","270F-5","189,152,114","#bd9872"
"Fudge Truffle","270F-6","164,127,90","#a47f5a"
"English Saddle","270F-7","142,105,71","#8e6947"
"Creamy Orange","280A-1","252,233,209","#fce9d1"
"Applecrunch","280A-2","254,229,201","#fee5c9"
"Delicious Melon","280A-3","255,215,176","#ffd7b0"
"Apricot Light","280B-4","255,202,149","#ffca95"
"Vintage Orange","280B-5","255,176,95","#ffb05f"
"Amber Glow","280B-6","242,154,57","#f29a39"
"Status Bronze","280B-7","220,138,48","#dc8a30"
"Champagne Ice","280C-1","252,228,208","#fce4d0"
"Serene Peach","280C-2","245,211,183","#f5d3b7"
"Fresh Praline","280C-3","231,187,149","#e7bb95"
"Caramel Sundae","280D-4","224,167,119","#e0a777"
"Glazed Pecan","280D-5","209,149,100","#d19564"
"Mulling Spice","280D-6","193,134,84","#c18654"
