source_anchor_slug,source_anchor_code,source_anchor_name,source_family,source_url,a_slug,a_code,a_name,a_rgb,a_hex,b_slug,b_code,b_name,b_rgb,b_hex
de5012,DEW-5012,Vivid Violet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5012/,de6218,DEW-6218,Trim,"rgb(244,240,232)",F4F0E8,de6221,DEW-6221,Accent,"rgb(187,179,162)",BBB3A2
de5013,DEW-5013,Deep Magenta,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5013/,de5013,DEW-5013,Deep Magenta,,96466A,dew300,DEW-300,Trim,"rgb(255,244,243)",FFF4F3
de5013,DEW-5013,Deep Magenta,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5013/,de5013,DEW-5013,Deep Magenta,,96466A,dec709,,Accent,"rgb(229,193,167)",E5C1A7
de5013,DEW-5013,Deep Magenta,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5013/,dew300,DEW-300,Trim,"rgb(255,244,243)",FFF4F3,dec709,,Accent,"rgb(229,193,167)",E5C1A7
de5014,DEW-5014,Spun Sugar,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5014/,de5014,DEW-5014,Spun Sugar,,FAE2ED,dew380,DEW-380,Trim,"rgb(255,255,255)",FFFFFF
de5014,DEW-5014,Spun Sugar,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5014/,de5014,DEW-5014,Spun Sugar,,FAE2ED,de5016,DEW-5016,Accent,"rgb(228,179,204)",E4B3CC
de5014,DEW-5014,Spun Sugar,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5014/,dew380,DEW-380,Trim,"rgb(255,255,255)",FFFFFF,de5016,DEW-5016,Accent,"rgb(228,179,204)",E4B3CC
de5015,DEW-5015,Minimal Rose,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5015/,de5015,DEW-5015,Minimal Rose,,F2CFE0,dew325,DEW-325,Trim,"rgb(255,251,240)",FFFBF0
de5015,DEW-5015,Minimal Rose,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5015/,de5015,DEW-5015,Minimal Rose,,F2CFE0,de5364,DEW-5364,Accent,"rgb(255,242,215)",FFF2D7
de5015,DEW-5015,Minimal Rose,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5015/,dew325,DEW-325,Trim,"rgb(255,251,240)",FFFBF0,de5364,DEW-5364,Accent,"rgb(255,242,215)",FFF2D7
de5016,DEW-5016,Muddy Mauve,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5016/,de5016,DEW-5016,Muddy Mauve,,E4B3CC,de6253,DEW-6253,Trim,"rgb(242,240,232)",F2F0E8
de5016,DEW-5016,Muddy Mauve,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5016/,de5016,DEW-5016,Muddy Mauve,,E4B3CC,de6255,DEW-6255,Accent,"rgb(208,209,193)",D0D1C1
de5016,DEW-5016,Muddy Mauve,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5016/,de6253,DEW-6253,Trim,"rgb(242,240,232)",F2F0E8,de6255,DEW-6255,Accent,"rgb(208,209,193)",D0D1C1
de5017,DEW-5017,Exotic Lilac,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5017/,de5017,DEW-5017,Exotic Lilac,,D198B5,dew341,DEW-341,Trim,"rgb(248,245,233)",F8F5E9
de5017,DEW-5017,Exotic Lilac,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5017/,de5017,DEW-5017,Exotic Lilac,,D198B5,de6352,DEW-6352,Accent,"rgb(213,215,217)",D5D7D9
de5017,DEW-5017,Exotic Lilac,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5017/,dew341,DEW-341,Trim,"rgb(248,245,233)",F8F5E9,de6352,DEW-6352,Accent,"rgb(213,215,217)",D5D7D9
de5018,DEW-5018,First Plum,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5018/,de5018,DEW-5018,First Plum,,B87592,dew300,DEW-300,Trim,"rgb(255,244,243)",FFF4F3
de5018,DEW-5018,First Plum,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5018/,de5018,DEW-5018,First Plum,,B87592,de6213,DEW-6213,Accent,"rgb(216,207,193)",D8CFC1
de5018,DEW-5018,First Plum,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5018/,dew300,DEW-300,Trim,"rgb(255,244,243)",FFF4F3,de6213,DEW-6213,Accent,"rgb(216,207,193)",D8CFC1
de5019,DEW-5019,Rosewine,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5019/,de5019,DEW-5019,Rosewine,,9D5C75,de6211,DEW-6211,Trim,"rgb(245,239,232)",F5EFE8
de5019,DEW-5019,Rosewine,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5019/,de5019,DEW-5019,Rosewine,,9D5C75,de6214,DEW-6214,Accent,"rgb(193,180,160)",C1B4A0
de5019,DEW-5019,Rosewine,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5019/,de6211,DEW-6211,Trim,"rgb(245,239,232)",F5EFE8,de6214,DEW-6214,Accent,"rgb(193,180,160)",C1B4A0
de5020,DEW-5020,Mahogany Cherry,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5020/,de5020,DEW-5020,Mahogany Cherry,,82495A,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5020,DEW-5020,Mahogany Cherry,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5020/,de5020,DEW-5020,Mahogany Cherry,,82495A,de6066,DEW-6066,Accent,"rgb(213,198,189)",D5C6BD
de5020,DEW-5020,Mahogany Cherry,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5020/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6066,DEW-6066,Accent,"rgb(213,198,189)",D5C6BD
de5021,DEW-5021,Bunny Tail,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5021/,de5021,DEW-5021,Bunny Tail,,FFE3F4,de6057,DEW-6057,Trim,"rgb(236,229,225)",ECE5E1
de5021,DEW-5021,Bunny Tail,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5021/,de5021,DEW-5021,Bunny Tail,,FFE3F4,de6059,DEW-6059,Accent,"rgb(197,185,180)",C5B9B4
de5021,DEW-5021,Bunny Tail,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5021/,de6057,DEW-6057,Trim,"rgb(236,229,225)",ECE5E1,de6059,DEW-6059,Accent,"rgb(197,185,180)",C5B9B4
de5022,DEW-5022,Sweet Sachet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5022/,de5022,DEW-5022,Sweet Sachet,,FFD8F0,dew304,DEW-304,Trim,"rgb(255,244,232)",FFF4E8
de5022,DEW-5022,Sweet Sachet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5022/,de5022,DEW-5022,Sweet Sachet,,FFD8F0,de6114,DEW-6114,Accent,"rgb(239,223,207)",EFDFCF
de5022,DEW-5022,Sweet Sachet,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5022/,dew304,DEW-304,Trim,"rgb(255,244,232)",FFF4E8,de6114,DEW-6114,Accent,"rgb(239,223,207)",EFDFCF
de5023,DEW-5023,Pretty In Pink,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5023/,de5023,DEW-5023,Pretty In Pink,,FABFE4,dew382,DEW-382,Trim,"rgb(234,232,228)",EAE8E4
de5023,DEW-5023,Pretty In Pink,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5023/,de5023,DEW-5023,Pretty In Pink,,FABFE4,de6366,DEW-6366,Accent,"rgb(211,211,210)",D3D3D2
de5023,DEW-5023,Pretty In Pink,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5023/,dew382,DEW-382,Trim,"rgb(234,232,228)",EAE8E4,de6366,DEW-6366,Accent,"rgb(211,211,210)",D3D3D2
de5024,DEW-5024,Violet Kiss,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5024/,de5024,DEW-5024,Violet Kiss,,F0A0D1,dew338,DEW-338,Trim,"rgb(253,249,239)",FDF9EF
de5024,DEW-5024,Violet Kiss,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5024/,de5024,DEW-5024,Violet Kiss,,F0A0D1,de6345,DEW-6345,Accent,"rgb(210,213,218)",D2D5DA
